"C_ID","CDVA","STT_DT","C_NM","C_SQN","C_TP","C_TP_DES","CDVA_DES","CDVA_DTL","CDVA_DTL_C","CDVA_NM","END_DT","HRK_C","DEL_YN","GUID","GUID_PRG_SNO","FST_ENR_USID","FST_ENR_DTM","LST_CHG_USID","LST_CHG_DTM"
ASCT_STS_C,"001",2026-04-12 00:00:00.000,협의회상태,1,ASCT_STS_C,협의회상태,협의회상태,작성 중,,작성 중,9999-12-31 00:00:00.000,,N,"367BFFD073D242F3A014A8D45D6BD378",1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
ASCT_STS_C,"002",2026-04-12 00:00:00.000,협의회상태,2,ASCT_STS_C,협의회상태,협의회상태,작성 완료,,작성 완료,9999-12-31 00:00:00.000,,N,"339F9896841D42CF90660FA2DBC3A7E9",1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
ASCT_STS_C,"003",2026-04-12 00:00:00.000,협의회상태,3,ASCT_STS_C,협의회상태,협의회상태,결재 대기,,결재 대기,9999-12-31 00:00:00.000,,N,"64B77EAA9FA841099383892C0582CFC6",1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
ASCT_STS_C,"004",2026-04-12 00:00:00.000,협의회상태,4,ASCT_STS_C,협의회상태,협의회상태,결재 완료,,결재 완료,9999-12-31 00:00:00.000,,N,B0E65D278B9341219DBA98DB4AECDCD2,1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
ASCT_STS_C,"005",2026-04-12 00:00:00.000,협의회상태,5,ASCT_STS_C,협의회상태,협의회상태,개최 준비,,개최 준비,9999-12-31 00:00:00.000,,N,"1C31EC102D9A42388A0DE55BE3BCE859",1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
ASCT_STS_C,"006",2026-04-12 00:00:00.000,협의회상태,6,ASCT_STS_C,협의회상태,협의회상태,일정 확정,,일정 확정,9999-12-31 00:00:00.000,,N,"16C60B7FC9AA4C3CA6C1A4EF64C79FC8",1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
ASCT_STS_C,"007",2026-04-12 00:00:00.000,협의회상태,7,ASCT_STS_C,협의회상태,협의회상태,협의회 진행 중,,협의회 진행 중,9999-12-31 00:00:00.000,,N,BC823513D3284AB1BACD1790A20F40B4,1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
ASCT_STS_C,"008",2026-04-12 00:00:00.000,협의회상태,8,ASCT_STS_C,협의회상태,협의회상태,평가의견 작성 중,,평가의견 작성 중,9999-12-31 00:00:00.000,,N,FCEC6C45EE7541CC8278EF0088B15113,1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
ASCT_STS_C,"009",2026-04-12 00:00:00.000,협의회상태,9,ASCT_STS_C,협의회상태,협의회상태,결과서 작성 중,,결과서 작성 중,9999-12-31 00:00:00.000,,N,E5C7C4174B9B4BA1BC86E0D8BD29633D,1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
ASCT_STS_C,"010",2026-04-12 00:00:00.000,협의회상태,10,ASCT_STS_C,협의회상태,협의회상태,결과서 검토 중,,결과서 검토 중,9999-12-31 00:00:00.000,,N,"532BF6DA82C147C9AFA143C98F5859ED",1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
