old_cid,old_cdva,new_cid,new_cdva,new_cdva_nm,new_c_nm,new_seq,new_hrk,new_stt,new_end,value_changed
TMN_USG,001,IT_PTL_TMN_SVC_TC,009,트레이딩,단말기용도,,,2026-03-31,9999-12-31,Y
TMN_USG,002,IT_PTL_TMN_SVC_TC,010,리서치,단말기용도,,,2026-03-31,9999-12-31,Y
TMN_USG,003,IT_PTL_TMN_SVC_TC,011,리스크관리,단말기용도,,,2026-03-31,9999-12-31,Y
TMN_USG,999,IT_PTL_TMN_SVC_TC,999,기타,단말기용도,,,2026-03-31,9999-12-31,N
TMN_MAGR,001,IT_PTL_TMN_KD_TC,001,별도단말,단말기이용방식,,,2026-03-31,9999-12-31,N
TMN_MAGR,002,IT_PTL_TMN_KD_TC,002,Web접속,단말기이용방식,,,2026-03-31,9999-12-31,N
TMN_MAGR,003,IT_PTL_TMN_KD_TC,003,API연계,단말기이용방식,,,2026-03-31,9999-12-31,N
TMN_MAGR,999,IT_PTL_TMN_KD_TC,999,기타,단말기이용방식,,,2026-03-31,9999-12-31,N
TMN_KD,001,IT_PTL_TMN_SVC_TC,001,코스콤체크,단말기종류,,,2026-03-31,9999-12-31,N
TMN_KD,002,IT_PTL_TMN_SVC_TC,002,S&P,단말기종류,,,2026-03-31,9999-12-31,N
TMN_KD,003,IT_PTL_TMN_SVC_TC,003,레피니티브,단말기종류,,,2026-03-31,9999-12-31,N
TMN_KD,004,IT_PTL_TMN_SVC_TC,004,레피니티브(콘커넥터),단말기종류,,,2026-03-31,9999-12-31,N
TMN_KD,005,IT_PTL_TMN_SVC_TC,005,블룸버그,단말기종류,,,2026-03-31,9999-12-31,N
TMN_KD,006,IT_PTL_TMN_SVC_TC,006,블룸버그(DDA),단말기종류,,,2026-03-31,9999-12-31,N
TMN_KD,007,IT_PTL_TMN_SVC_TC,007,블룸버그(Terminal),단말기종류,,,2026-03-31,9999-12-31,N
TMN_KD,008,IT_PTL_TMN_SVC_TC,008,트라이옵티마,단말기종류,,,2026-03-31,9999-12-31,N
TCHN_TP,001,IT_PTL_TCHN_TP_TC,001,빅데이터,기술유형,,,2026-03-31,9999-12-31,N
TCHN_TP,002,IT_PTL_TCHN_TP_TC,002,AI,기술유형,,,2026-03-31,9999-12-31,N
TCHN_TP,003,IT_PTL_TCHN_TP_TC,003,클라우드,기술유형,,,2026-03-31,9999-12-31,N
TCHN_TP,004,IT_PTL_TCHN_TP_TC,004,블록체인,기술유형,,,2026-03-31,9999-12-31,N
TCHN_TP,005,IT_PTL_TCHN_TP_TC,005,플랫폼,기술유형,,,2026-03-31,9999-12-31,N
TCHN_TP,006,IT_PTL_TCHN_TP_TC,006,핀테크,기술유형,,,2026-03-31,9999-12-31,N
TCHN_TP,999,IT_PTL_TCHN_TP_TC,999,기타,기술유형,,,2026-03-31,9999-12-31,N
SYS_RQC,001,SYS_RQC,001,온라인,시스템 요건,,,2026-03-31,9999-12-31,N
SYS_RQC,002,SYS_RQC,002,24/365,시스템 요건,,,2026-03-31,9999-12-31,N
SYS_RQC,003,SYS_RQC,003,이중화,시스템 요건,,,2026-03-31,9999-12-31,N
